msd_en	features_en	msd_sl	features_sl	types	tokens	examples
Va-p-pn	Verb Type=auxiliary VForm=participle Number=plural Gender=neuter	Gp-d-ms	glagol vrsta=pomožni oblika=deležnik število=množina spol=srednji	1	70831	bila/biti
Va-p-dm	Verb Type=auxiliary VForm=participle Number=dual Gender=masculine	Gp-d-dm	glagol vrsta=pomožni oblika=deležnik število=dvojina spol=moški	2	129434	bila/biti, bla/biti
Va-p-df	Verb Type=auxiliary VForm=participle Number=dual Gender=feminine	Gp-d-dz	glagol vrsta=pomožni oblika=deležnik število=dvojina spol=ženski	1	38121	bili/biti
Va-p-dn	Verb Type=auxiliary VForm=participle Number=dual Gender=neuter	Gp-d-ds	glagol vrsta=pomožni oblika=deležnik število=dvojina spol=srednji	1		bili/biti
Va-r1s-n	Verb Type=auxiliary VForm=present Person=first Number=singular Negative=no	Gp-spe-n	glagol vrsta=pomožni oblika=sedanjik oseba=prva število=ednina nikalnost=nezanikani	7	2286494	sem/biti, sm/smti, sm/biti, nism/nismti, san/biti
Va-r1s-y	Verb Type=auxiliary VForm=present Person=first Number=singular Negative=yes	Gp-spe-d	glagol vrsta=pomožni oblika=sedanjik oseba=prva število=ednina nikalnost=zanikani	3	335379	nisem/biti, nism/nismti, nism/biti
Va-r1p-n	Verb Type=auxiliary VForm=present Person=first Number=plural Negative=no	Gp-spm-n	glagol vrsta=pomožni oblika=sedanjik oseba=prva število=množina nikalnost=nezanikani	3	1959954	smo/biti, sm/smti, sma/biti
Va-r1p-y	Verb Type=auxiliary VForm=present Person=first Number=plural Negative=yes	Gp-spm-d	glagol vrsta=pomožni oblika=sedanjik oseba=prva število=množina nikalnost=zanikani	1	181770	nismo/biti
Va-r1d-n	Verb Type=auxiliary VForm=present Person=first Number=dual Negative=no	Gp-spd-n	glagol vrsta=pomožni oblika=sedanjik oseba=prva število=dvojina nikalnost=nezanikani	1	202242	sva/biti
Va-r1d-y	Verb Type=auxiliary VForm=present Person=first Number=dual Negative=yes	Gp-spd-d	glagol vrsta=pomožni oblika=sedanjik oseba=prva število=dvojina nikalnost=zanikani	1	18279	nisva/biti
Va-r1dfn	Verb Type=auxiliary VForm=present Person=first Number=dual Gender=feminine Negative=no	Gp-spdzn	glagol vrsta=pomožni oblika=sedanjik oseba=prva število=dvojina spol=ženski nikalnost=nezanikani	1	3029	sve/biti
Va-r2s-n	Verb Type=auxiliary VForm=present Person=second Number=singular Negative=no	Gp-sde-n	glagol vrsta=pomožni oblika=sedanjik oseba=druga število=ednina nikalnost=nezanikani	1	161308	si/biti
Va-r2s-y	Verb Type=auxiliary VForm=present Person=second Number=singular Negative=yes	Gp-sde-d	glagol vrsta=pomožni oblika=sedanjik oseba=druga število=ednina nikalnost=zanikani	2	41199	nisi/biti, nis/biti
Va-r2p-n	Verb Type=auxiliary VForm=present Person=second Number=plural Negative=no	Gp-sdm-n	glagol vrsta=pomožni oblika=sedanjik oseba=druga število=množina nikalnost=nezanikani	1	594754	ste/biti
Va-r2p-y	Verb Type=auxiliary VForm=present Person=second Number=plural Negative=yes	Gp-sdm-d	glagol vrsta=pomožni oblika=sedanjik oseba=druga število=množina nikalnost=zanikani	1	64981	niste/biti
Va-r2d-n	Verb Type=auxiliary VForm=present Person=second Number=dual Negative=no	Gp-sdd-n	glagol vrsta=pomožni oblika=sedanjik oseba=druga število=dvojina nikalnost=nezanikani	1	881	sta/biti
Va-r2d-y	Verb Type=auxiliary VForm=present Person=second Number=dual Negative=yes	Gp-sdd-d	glagol vrsta=pomožni oblika=sedanjik oseba=druga število=dvojina nikalnost=zanikani	1		nista/biti
Va-r3s-n	Verb Type=auxiliary VForm=present Person=third Number=singular Negative=no	Gp-ste-n	glagol vrsta=pomožni oblika=sedanjik oseba=tretja število=ednina nikalnost=nezanikani	10	36945864	je/biti, sm/smti, nism/nismti, ble/bleti, bodte/bodteti
Va-r3s-y	Verb Type=auxiliary VForm=present Person=third Number=singular Negative=yes	Gp-ste-d	glagol vrsta=pomožni oblika=sedanjik oseba=tretja število=ednina nikalnost=zanikani	4	4401791	ni/biti, nism/nismti, sm/smti, nej/biti
Va-r3p-n	Verb Type=auxiliary VForm=present Person=third Number=plural Negative=no	Gp-stm-n	glagol vrsta=pomožni oblika=sedanjik oseba=tretja število=množina nikalnost=nezanikani	4	12384301	so/biti, sm/smti, bod/bodti, su/biti
Va-r3p-y	Verb Type=auxiliary VForm=present Person=third Number=plural Negative=yes	Gp-stm-d	glagol vrsta=pomožni oblika=sedanjik oseba=tretja število=množina nikalnost=zanikani	1	997432	niso/biti
Va-r3d-n	Verb Type=auxiliary VForm=present Person=third Number=dual Negative=no	Gp-std-n	glagol vrsta=pomožni oblika=sedanjik oseba=tretja število=dvojina nikalnost=nezanikani	1	1666681	sta/biti
Va-r3d-y	Verb Type=auxiliary VForm=present Person=third Number=dual Negative=yes	Gp-std-d	glagol vrsta=pomožni oblika=sedanjik oseba=tretja število=dvojina nikalnost=zanikani	1	105650	nista/biti
Va-f1s-n	Verb Type=auxiliary VForm=future Person=first Number=singular Negative=no	Gp-ppe-n	glagol vrsta=pomožni oblika=prihodnjik oseba=prva število=ednina nikalnost=nezanikani	3	438985	bom/biti, mo/biti, bon/biti
Va-f1s-y	Verb Type=auxiliary VForm=future Person=first Number=singular Negative=yes	Gp-ppe-d	glagol vrsta=pomožni oblika=prihodnjik oseba=prva število=ednina nikalnost=zanikani	1		nebom/biti
Va-f1p-n	Verb Type=auxiliary VForm=future Person=first Number=plural Negative=no	Gp-ppm-n	glagol vrsta=pomožni oblika=prihodnjik oseba=prva število=množina nikalnost=nezanikani	1	730172	bomo/biti
Va-f1p-y	Verb Type=auxiliary VForm=future Person=first Number=plural Negative=yes	Gp-ppm-d	glagol vrsta=pomožni oblika=prihodnjik oseba=prva število=množina nikalnost=zanikani	1	474	nebomo/biti
Va-f1d	Verb Type=auxiliary VForm=future Person=first Number=dual	Gp-ppd	glagol vrsta=pomožni oblika=prihodnjik oseba=prva število=dvojina	1	1	bova/biti
Va-f1d-n	Verb Type=auxiliary VForm=future Person=first Number=dual Negative=no	Gp-ppd-n	glagol vrsta=pomožni oblika=prihodnjik oseba=prva število=dvojina nikalnost=nezanikani	2	33748	bova/biti, boma/biti
Va-f1d-y	Verb Type=auxiliary VForm=future Person=first Number=dual Negative=yes	Gp-ppd-d	glagol vrsta=pomožni oblika=prihodnjik oseba=prva število=dvojina nikalnost=zanikani	1	20	nebova/biti
Va-f2s-n	Verb Type=auxiliary VForm=future Person=second Number=singular Negative=no	Gp-pde-n	glagol vrsta=pomožni oblika=prihodnjik oseba=druga število=ednina nikalnost=nezanikani	2	112950	boš/biti, bos/biti
Va-f2s-y	Verb Type=auxiliary VForm=future Person=second Number=singular Negative=yes	Gp-pde-d	glagol vrsta=pomožni oblika=prihodnjik oseba=druga število=ednina nikalnost=zanikani	1	444	neboš/biti
Va-f2p-n	Verb Type=auxiliary VForm=future Person=second Number=plural Negative=no	Gp-pdm-n	glagol vrsta=pomožni oblika=prihodnjik oseba=druga število=množina nikalnost=nezanikani	1	572008	boste/biti
Va-f2d-n	Verb Type=auxiliary VForm=future Person=second Number=dual Negative=no	Gp-pdd-n	glagol vrsta=pomožni oblika=prihodnjik oseba=druga število=dvojina nikalnost=nezanikani	1	16	bosta/biti
Va-f3s-n	Verb Type=auxiliary VForm=future Person=third Number=singular Negative=no	Gp-pte-n	glagol vrsta=pomožni oblika=prihodnjik oseba=tretja število=ednina nikalnost=nezanikani	5	5864464	bo/biti, bod/bodti, sm/smti, de/biti, b/biti
Va-f3s-y	Verb Type=auxiliary VForm=future Person=third Number=singular Negative=yes	Gp-pte-d	glagol vrsta=pomožni oblika=prihodnjik oseba=tretja število=ednina nikalnost=zanikani	1		nebo/biti
Va-f3p-n	Verb Type=auxiliary VForm=future Person=third Number=plural Negative=no	Gp-ptm-n	glagol vrsta=pomožni oblika=prihodnjik oseba=tretja število=množina nikalnost=nezanikani	2	2500278	bodo/biti, bojo/biti
Va-f3p-y	Verb Type=auxiliary VForm=future Person=third Number=plural Negative=yes	Gp-ptm-d	glagol vrsta=pomožni oblika=prihodnjik oseba=tretja število=množina nikalnost=zanikani	2	1154	nebodo/biti, nebojo/biti
Va-f3d-n	Verb Type=auxiliary VForm=future Person=third Number=dual Negative=no	Gp-ptd-n	glagol vrsta=pomožni oblika=prihodnjik oseba=tretja število=dvojina nikalnost=nezanikani	1	244098	bosta/biti
Va-c	Verb Type=auxiliary VForm=conditional	Gp-g	glagol vrsta=pomožni oblika=pogojnik	4	6480363	bi/biti, sm/smti, nism/nismti, b/biti
Va-c---y	Verb Type=auxiliary VForm=conditional Negative=yes	Gp-g---d	glagol vrsta=pomožni oblika=pogojnik nikalnost=zanikani	1		nebi/biti
Va-m1p	Verb Type=auxiliary VForm=imperative Person=first Number=plural	Gp-vpm	glagol vrsta=pomožni oblika=velelnik oseba=prva število=množina	1	7508	bodimo/biti
Va-m1d	Verb Type=auxiliary VForm=imperative Person=first Number=dual	Gp-vpd	glagol vrsta=pomožni oblika=velelnik oseba=prva število=dvojina	1		bodiva/biti
Va-m2s	Verb Type=auxiliary VForm=imperative Person=second Number=singular	Gp-vde	glagol vrsta=pomožni oblika=velelnik oseba=druga število=ednina	2	18089	bodi/biti, bod/biti
Va-m2p	Verb Type=auxiliary VForm=imperative Person=second Number=plural	Gp-vdm	glagol vrsta=pomožni oblika=velelnik oseba=druga število=množina	1	32407	bodite/biti
Va-m2d	Verb Type=auxiliary VForm=imperative Person=second Number=dual	Gp-vdd	glagol vrsta=pomožni oblika=velelnik oseba=druga število=dvojina	1		bodita/biti
Agpmsnn	Adjective Type=general Degree=positive Gender=masculine Number=singular Case=nominative Definiteness=no	Ppnmein	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=ednina sklon=imenovalnik določnost=ne	9414	4433013	sam, velik, dober, pomemben, star
Agpmsny	Adjective Type=general Degree=positive Gender=masculine Number=singular Case=nominative Definiteness=yes	Ppnmeid	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=ednina sklon=imenovalnik določnost=da	16719	7987303	slovenski, novi/nov, letni/leten, pravi, glavni/glaven
Agpmsg	Adjective Type=general Degree=positive Gender=masculine Number=singular Case=genitive	Ppnmer	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=ednina sklon=rodilnik	15632	5763168	novega/nov, državnega/državen, slovenskega/slovenski, javnega/javen, svetovnega/svetoven
Agpmsd	Adjective Type=general Degree=positive Gender=masculine Number=singular Case=dative	Ppnmed	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=ednina sklon=dajalnik	14174	523318	državnemu/državen, slovenskemu/slovenski, novemu/nov, letnemu/leten, nekdanjemu/nekdanji
Agpmsa	Adjective Type=general Degree=positive Gender=masculine Number=singular Case=accusative	Ppnmet	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=ednina sklon=tožilnik	14111	441369	letnega/leten, novega/nov, samega/sam, starega/star, nekdanjega/nekdanji
Agpmsan	Adjective Type=general Degree=positive Gender=masculine Number=singular Case=accusative Definiteness=no	Ppnmetn	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=ednina sklon=tožilnik določnost=ne	8833	1123526	nov, velik, dober, poseben, cel
Agpmsay	Adjective Type=general Degree=positive Gender=masculine Number=singular Case=accusative Definiteness=yes	Ppnmetd	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=ednina sklon=tožilnik določnost=da	14715	2875984	prejšnji, naslednji, slovenski, pravi, rojstni/rojsten
Agpmsl	Adjective Type=general Degree=positive Gender=masculine Number=singular Case=locative	Ppnmem	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=ednina sklon=mestnik	15025	3496959	zadnjem/zadnji, slovenskem/slovenski, novem/nov, kratkem/kratek, državnem/državen
Agpmsi	Adjective Type=general Degree=positive Gender=masculine Number=singular Case=instrumental	Ppnmeo	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=ednina sklon=orodnik	14439	1602693	kratkim/kratek, novim/nov, velikim/velik, samim/sam, posebnim/poseben
Agpmdn	Adjective Type=general Degree=positive Gender=masculine Number=dual Case=nominative	Ppnmdi	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=dvojina sklon=imenovalnik	14075	81144	slovenska/slovenski, zadnja/zadnji, glavna/glaven, sama/sam, velika/velik
Agpmdg	Adjective Type=general Degree=positive Gender=masculine Number=dual Case=genitive	Ppnmdr	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=dvojina sklon=rodilnik	14061	2336	moških/moški, rumenih/rumen, velikih/velik, različnih/različen, zaporednih/zaporeden
Agpmdd	Adjective Type=general Degree=positive Gender=masculine Number=dual Case=dative	Ppnmdd	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=dvojina sklon=dajalnik	14060	2473	vodilnima/vodilen, dobrima/dober, prednjima/prednji, zadnjima/zadnji, glavnima/glaven
Agpmda	Adjective Type=general Degree=positive Gender=masculine Number=dual Case=accusative	Ppnmdt	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=dvojina sklon=tožilnik	14060	34263	dobra/dober, zadnja/zadnji, različna/različen, nova/nov, slaba/slab
Agpmdl	Adjective Type=general Degree=positive Gender=masculine Number=dual Case=locative	Ppnmdm	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=dvojina sklon=mestnik	14060	6016	zadnjih/zadnji, prejšnjih/prejšnji, naslednjih/naslednji, dobrih/dober, uvodnih/uvoden
Agpmdi	Adjective Type=general Degree=positive Gender=masculine Number=dual Case=instrumental	Ppnmdo	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=dvojina sklon=orodnik	14064	39003	dobrima/dober, novima/nov, slabima/slab, slovenskima/slovenski, velikima/velik
Agpmpn	Adjective Type=general Degree=positive Gender=masculine Number=plural Case=nominative	Ppnmmi	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=množina sklon=imenovalnik	15623	5420572	sami/sam, slovenski, mladi/mlad, zadovoljni/zadovoljen, številni/številen
Agpmpg	Adjective Type=general Degree=positive Gender=masculine Number=plural Case=genitive	Ppnmmr	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=množina sklon=rodilnik	14994	4531828	slovenskih/slovenski, mladih/mlad, novih/nov, dobrih/dober, različnih/različen
Agpmpd	Adjective Type=general Degree=positive Gender=masculine Number=plural Case=dative	Ppnmmd	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=množina sklon=dajalnik	14083	374238	mladim/mlad, slovenskim/slovenski, domačim/domač, novim/nov, številnim/številen
Agpmpa	Adjective Type=general Degree=positive Gender=masculine Number=plural Case=accusative	Ppnmmt	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=množina sklon=tožilnik	14505	2298238	nove/nov, mlade/mlad, zadnje/zadnji, različne/različen, številne/številen
Agpmpl	Adjective Type=general Degree=positive Gender=masculine Number=plural Case=locative	Ppnmmm	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=množina sklon=mestnik	14196	1262621	zadnjih/zadnji, različnih/različen, prihodnjih/prihodnji, naslednjih/naslednji, številnih/številen
Agpmpi	Adjective Type=general Degree=positive Gender=masculine Number=plural Case=instrumental	Ppnmmo	pridevnik vrsta=splošni stopnja=nedoločeno spol=moški število=množina sklon=orodnik	14222	970086	mladimi/mlad, novimi/nov, različnimi/različen, slovenskimi/slovenski, številnimi/številen
Agpfsn	Adjective Type=general Degree=positive Gender=feminine Number=singular Case=nominative	Ppnzei	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=ednina sklon=imenovalnik	17455	11927486	nova/nov, sama/sam, velika/velik, slovenska/slovenski, dobra/dober
Agpfsg	Adjective Type=general Degree=positive Gender=feminine Number=singular Case=genitive	Ppnzer	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=ednina sklon=rodilnik	17129	9028365	slovenske/slovenski, nove/nov, evropske/evropski, velike/velik, svetovne/svetoven
Agpfsd	Adjective Type=general Degree=positive Gender=feminine Number=singular Case=dative	Ppnzed	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=ednina sklon=dajalnik	14258	234261	evropski, slovenski, novi/nov, desni/desen, veliki/velik
Agpfsa	Adjective Type=general Degree=positive Gender=feminine Number=singular Case=accusative	Ppnzet	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=ednina sklon=tožilnik	15527	6298598	novo/nov, veliko/velik, slovensko/slovenski, dobro/dober, pravo/pravi
Agpfsl	Adjective Type=general Degree=positive Gender=feminine Number=singular Case=locative	Ppnzem	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=ednina sklon=mestnik	15428	4997161	novi/nov, veliki/velik, slovenski, zadnji, spletni/spleten
Agpfsi	Adjective Type=general Degree=positive Gender=feminine Number=singular Case=instrumental	Ppnzeo	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=ednina sklon=orodnik	14503	1373777	veliko/velik, novo/nov, svetovno/svetoven, slovensko/slovenski, ptičjo/ptičji
Agpfdn	Adjective Type=general Degree=positive Gender=feminine Number=dual Case=nominative	Ppnzdi	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=dvojina sklon=imenovalnik	14069	44696	pomembni/pomemben, različni/različen, vzmetni/vzmeten, glavni/glaven, posamični/posamičen
Agpfdg	Adjective Type=general Degree=positive Gender=feminine Number=dual Case=genitive	Ppnzdr	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=dvojina sklon=rodilnik	14060	1648	slovenskih/slovenski, velikih/velik, različnih/različen, svetovnih/svetoven, zlatih/zlat
Agpfdd	Adjective Type=general Degree=positive Gender=feminine Number=dual Case=dative	Ppnzdd	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=dvojina sklon=dajalnik	14060	58	slednjima/slednji, starima/star, prednjima/prednji, mladima/mlad, zvrstnima/zvrsten
Agpfda	Adjective Type=general Degree=positive Gender=feminine Number=dual Case=accusative	Ppnzdt	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=dvojina sklon=tožilnik	14063	30720	novi/nov, različni/različen, veliki/velik, odstotni/odstoten, zlati/zlat
Agpfdl	Adjective Type=general Degree=positive Gender=feminine Number=dual Case=locative	Ppnzdm	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=dvojina sklon=mestnik	14060	809	zaporednih/zaporeden, velikih/velik, svetovnih/svetoven, pomembnih/pomemben, različnih/različen
Agpfdi	Adjective Type=general Degree=positive Gender=feminine Number=dual Case=instrumental	Ppnzdo	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=dvojina sklon=orodnik	14062	23663	svetovnima/svetoven, različnima/različen, sosednjima/sosednji, novima/nov, velikima/velik
Agpfpn	Adjective Type=general Degree=positive Gender=feminine Number=plural Case=nominative	Ppnzmi	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=množina sklon=imenovalnik	14536	2767436	velike/velik, same/sam, številne/številen, slovenske/slovenski, različne/različen
Agpfpg	Adjective Type=general Degree=positive Gender=feminine Number=plural Case=genitive	Ppnzmr	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=množina sklon=rodilnik	14876	4169293	novih/nov, različnih/različen, slovenskih/slovenski, velikih/velik, evropskih/evropski
Agpfpd	Adjective Type=general Degree=positive Gender=feminine Number=plural Case=dative	Ppnzmd	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=množina sklon=dajalnik	14077	227917	novim/nov, različnim/različen, številnim/številen, evropskim/evropski, slovenskim/slovenski
Agpfpa	Adjective Type=general Degree=positive Gender=feminine Number=plural Case=accusative	Ppnzmt	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=množina sklon=tožilnik	14363	2072004	nove/nov, velike/velik, različne/različen, številne/številen, notranje/notranji
Agpfpl	Adjective Type=general Degree=positive Gender=feminine Number=plural Case=locative	Ppnzmm	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=množina sklon=mestnik	14215	1424965	različnih/različen, slovenskih/slovenski, zadnjih/zadnji, olimpijskih/olimpijski, evropskih/evropski
Agpfpi	Adjective Type=general Degree=positive Gender=feminine Number=plural Case=instrumental	Ppnzmo	pridevnik vrsta=splošni stopnja=nedoločeno spol=ženski število=množina sklon=orodnik	14172	833218	različnimi/različen, novimi/nov, številnimi/številen, posebnimi/poseben, velikimi/velik
Agpnsn	Adjective Type=general Degree=positive Gender=neuter Number=singular Case=nominative	Ppnsei	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=ednina sklon=imenovalnik	14929	4716047	mogoče/mogoč, pomembno/pomemben, novo/nov, jasno/jasen, potrebno/potreben
Agpnsg	Adjective Type=general Degree=positive Gender=neuter Number=singular Case=genitive	Ppnser	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=ednina sklon=rodilnik	14577	3117366	novega/nov, slovenskega/slovenski, posebnega/poseben, javnega/javen, dobrega/dober
Agpnsd	Adjective Type=general Degree=positive Gender=neuter Number=singular Case=dative	Ppnsed	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=ednina sklon=dajalnik	14081	180527	novemu/nov, slovenskemu/slovenski, dobremu/dober, ustavnemu/ustaven, državnemu/državen
Agpnsa	Adjective Type=general Degree=positive Gender=neuter Number=singular Case=accusative	Ppnset	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=ednina sklon=tožilnik	14357	2413429	prihodnje/prihodnji, novo/nov, dobro/dober, naslednje/naslednji, zdravstveno/zdravstven
Agpnsl	Adjective Type=general Degree=positive Gender=neuter Number=singular Case=locative	Ppnsem	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=ednina sklon=mestnik	14290	1916735	novem/nov, glavnem/glaven, zadnjem/zadnji, svetovnem/svetoven, letošnjem/letošnji
Agpnsi	Adjective Type=general Degree=positive Gender=neuter Number=singular Case=instrumental	Ppnseo	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=ednina sklon=orodnik	14125	608656	kratkim/kratek, novim/nov, velikim/velik, dobrim/dober, nedavnim/nedaven
Agpndn	Adjective Type=general Degree=positive Gender=neuter Number=dual Case=nominative	Ppnsdi	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=dvojina sklon=imenovalnik	14060		zvrstni/zvrsten, zvonki/zvonek, zvončasti/zvončast, zvonasti/zvonast, zvonarski
Agpndg	Adjective Type=general Degree=positive Gender=neuter Number=dual Case=genitive	Ppnsdr	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=dvojina sklon=rodilnik	14060		zvrstnih/zvrsten, zvonkih/zvonek, zvončastih/zvončast, zvonastih/zvonast, zvonarskih/zvonarski
Agpndd	Adjective Type=general Degree=positive Gender=neuter Number=dual Case=dative	Ppnsdd	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=dvojina sklon=dajalnik	14060		zvrstnima/zvrsten, zvonkima/zvonek, zvončastima/zvončast, zvonastima/zvonast, zvonarskima/zvonarski
Agpnda	Adjective Type=general Degree=positive Gender=neuter Number=dual Case=accusative	Ppnsdt	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=dvojina sklon=tožilnik	14062	15112	zadnji, dobri/dober, prihodnji, naslednji, slabi/slab
Agpndl	Adjective Type=general Degree=positive Gender=neuter Number=dual Case=locative	Ppnsdm	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=dvojina sklon=mestnik	14060	19948	zadnjih/zadnji, prihodnjih/prihodnji, naslednjih/naslednji, dobrih/dober, slabih/slab
Agpndi	Adjective Type=general Degree=positive Gender=neuter Number=dual Case=instrumental	Ppnsdo	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=dvojina sklon=orodnik	14061	1765	starima/star, zadnjima/zadnji, prednjima/prednji, zunanjima/zunanji, sosednjima/sosednji
Agpnpn	Adjective Type=general Degree=positive Gender=neuter Number=plural Case=nominative	Ppnsmi	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=množina sklon=imenovalnik	14210	505161	različna/različen, nova/nov, slovenska/slovenski, velika/velik, številna/številen
Agpnpg	Adjective Type=general Degree=positive Gender=neuter Number=plural Case=genitive	Ppnsmr	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=množina sklon=rodilnik	14205	979020	delovnih/deloven, novih/nov, zadnjih/zadnji, javnih/javen, kaznivih/kazniv
Agpnpd	Adjective Type=general Degree=positive Gender=neuter Number=plural Case=dative	Ppnsmd	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=množina sklon=dajalnik	14065	16364	številnim/številen, slovenskim/slovenski, velikim/velik, malim/mali, vzorčnim/vzorčen
Agpnpa	Adjective Type=general Degree=positive Gender=neuter Number=plural Case=accusative	Ppnsmt	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=množina sklon=tožilnik	14119	686200	zadnja/zadnji, nova/nov, dolga/dolg, delovna/deloven, različna/različen
Agpnpl	Adjective Type=general Degree=positive Gender=neuter Number=plural Case=locative	Ppnsmm	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=množina sklon=mestnik	14085	469068	zadnjih/zadnji, naslednjih/naslednji, prihodnjih/prihodnji, delovnih/deloven, različnih/različen
Agpnpi	Adjective Type=general Degree=positive Gender=neuter Number=plural Case=instrumental	Ppnsmo	pridevnik vrsta=splošni stopnja=nedoločeno spol=srednji število=množina sklon=orodnik	14079	144261	novimi/nov, različnimi/različen, javnimi/javen, dobrimi/dober, lastnimi/lasten
Agcmsny	Adjective Type=general Degree=comparative Gender=masculine Number=singular Case=nominative Definiteness=yes	Pppmeid	pridevnik vrsta=splošni stopnja=primernik spol=moški število=ednina sklon=imenovalnik določnost=da	863	452739	večji/velik, boljši/dober, manjši/majhen, starejši/star, višji/visok
Agcmsg	Adjective Type=general Degree=comparative Gender=masculine Number=singular Case=genitive	Pppmer	pridevnik vrsta=splošni stopnja=primernik spol=moški število=ednina sklon=rodilnik	814	107601	večjega/velik, višjega/visok, manjšega/majhen, boljšega/dober, širšega/širok
Agcmsd	Adjective Type=general Degree=comparative Gender=masculine Number=singular Case=dative	Pppmed	pridevnik vrsta=splošni stopnja=primernik spol=moški število=ednina sklon=dajalnik	814	35386	večjemu/velik, boljšemu/dober, širšemu/širok, hitrejšemu/hiter, mlajšemu/mlad
Agcmsa	Adjective Type=general Degree=comparative Gender=masculine Number=singular Case=accusative	Pppmet	pridevnik vrsta=splošni stopnja=primernik spol=moški število=ednina sklon=tožilnik	814	15232	starejšega/star, mlajšega/mlad, lepšega/lep, močnejšega/močen, cenejšega/poceni
Agcmsay	Adjective Type=general Degree=comparative Gender=masculine Number=singular Case=accusative Definiteness=yes	Pppmetd	pridevnik vrsta=splošni stopnja=primernik spol=moški število=ednina sklon=tožilnik določnost=da	821	176680	večji/velik, manjši/majhen, boljši/dober, krajši/kratek, višji/visok
Agcmsl	Adjective Type=general Degree=comparative Gender=masculine Number=singular Case=locative	Pppmem	pridevnik vrsta=splošni stopnja=primernik spol=moški število=ednina sklon=mestnik	814	59878	širšem/širok, večjem/velik, manjšem/majhen, krajšem/kratek, daljšem/dolg
Agcmsi	Adjective Type=general Degree=comparative Gender=masculine Number=singular Case=instrumental	Pppmeo	pridevnik vrsta=splošni stopnja=primernik spol=moški število=ednina sklon=orodnik	815	55835	večjim/velik, manjšim/majhen, boljšim/dober, višjim/visok, krajšim/kratek
Agcmdn	Adjective Type=general Degree=comparative Gender=masculine Number=dual Case=nominative	Pppmdi	pridevnik vrsta=splošni stopnja=primernik spol=moški število=dvojina sklon=imenovalnik	814	62	dražja/drag, lažja/lahek, globlja/globok, zvestejša/zvest, žvečljivejša/žvečljiv
